Client_ID,Name,Gender,Age,City,Length_at_Residence,Education
1,A M Monroe,M,50,Regina,15,3
2,C C Herrera,F,42,Regina,7,2
3,L E Short,F,34,Regina,3,3
4,E C Long,M,52,,2,1
5,J R Farmer,M,25,North Battleford,12,0
6,R R Combs,F,55,Saskatoon,0,4
7,C D Harrison,F,41,Moose Jaw,0,2
8,A W Cobb,M,40,Moose Jaw,13,4
9,E Z Hall,F,47,Saskatoon,13,1
10,A H Elliott,F,27,Regina,6,0
11,E P Baker,F,20,Saskatoon,6,1
12,A L Stone,M,52,North Battleford,23,3
13,I S Gonzalez,M,31,Regina,2,0
14,E U Kelley,M,45,Moose Jaw,4,3
15,J E Cohen,M,51,Moose Jaw,24,3
16,T R Pope,M,52,Saskatoon,16,3
17,E V Patrick,F,53,Regina,3,1
18,K A Burke,M,25,,6,2
19,C C Dunn,F,23,Saskatoon,8,2
20,E A Boyd,F,28,Saskatoon,28,1
21,S E Maldonado,F,53,Regina,17,1
22,K C Bailey,F,41,Regina,2,3
23,W A Larson,F,28,Regina,18,1
24,E E Carpenter,M,32,Regina,24,
25,E A Conner,M,40,North Battleford,8,1
26,S M Osborne,M,41,Regina,13,3
27,L C Knox,F,41,North Battleford,18,3
28,V R Saunders,F,26,Saskatoon,9,3
29,A P Blankenship,M,28,Saskatoon,0,1
30,C B Pierce,F,21,Regina,19,2
31,V Z Harrison,M,23,Moose Jaw,8,1
32,A A Beasley,F,29,Moose Jaw,0,0
33,B C Cobb,M,49,Saskatoon,14,1
34,E K Phelps,M,56,,3,2
35,Z F Johnson,F,51,Saskatoon,0,2
36,A S Phillips,M,19,Moose Jaw,19,2
37,A D Holmes,F,53,Regina,14,1
38,C G Stafford,M,25,Moose Jaw,13,3
39,T C Saunders,F,29,Saskatoon,9,1
40,D I Stanley,M,45,Regina,16,3
41,I A Wilcox,M,46,Moose Jaw,9,2
42,C C Sawyer,F,25,Regina,18,2
43,A C Watson,M,33,Regina,33,1
44,S F Scott,M,22,Saskatoon,3,1
45,K F Beck,F,35,Regina,18,3
46,I E Black,F,21,Regina,4,0
47,C M Wood,F,20,Moose Jaw,12,4
48,K H Love,F,49,Saskatoon,7,1
49,D A Johns,F,31,Saskatoon,3,3
50,E F Bowman,M,33,Regina,2,1
51,M R Vazquez,F,28,Saskatoon,15,3
52,P F Wolfe,F,52,North Battleford,6,2
53,C R Gallagher,F,29,Saskatoon,22,1
54,A Z Wise,M,43,Saskatoon,9,0
55,P L Burgess,M,38,Saskatoon,5,1
56,J R Sanchez,F,27,Saskatoon,17,0
57,R D Woodard,M,29,Regina,6,4
58,L R Cohen,M,23,Saskatoon,5,2
59,I E Higgins,M,32,Saskatoon,6,1
60,R S Howard,F,48,North Battleford,14,3
61,W J Cook,F,33,North Battleford,12,1
62,R E Mcclain,F,44,Regina,7,1
63,J C Mcbride,F,50,Regina,16,4
64,S P Estrada,F,39,Regina,24,4
65,R A Espinoza,M,53,Regina,12,2
66,R L Lopez,F,27,Regina,26,1
67,E D Mcdaniel,F,46,Saskatoon,14,0
68,T P Nash,M,44,Regina,26,2
69,A E Morton,F,26,Regina,11,3
70,C M Kelly,M,39,Regina,4,4
71,U K Chase,M,19,Moose Jaw,2,3
72,H A Ayala,M,33,Regina,27,1
73,A R Dennis,F,39,North Battleford,18,1
74,J C Olson,M,52,North Battleford,18,2
75,W J Kemp,M,27,Moose Jaw,13,2
76,I J Mcclure,M,30,Saskatoon,9,2
77,A R Peterson,M,22,North Battleford,0,1
78,I C Rojas,M,47,Moose Jaw,14,2
79,T S Sparks,F,27,Moose Jaw,12,2
80,C A Hutchinson,M,43,North Battleford,24,1
81,L E Bell,M,55,Regina,28,2
82,C H Higgins,M,43,Regina,9,4
83,R W Jimenez,F,23,North Battleford,0,2
84,W C Knight,F,34,Regina,9,2
85,A V Hernandez,M,38,Moose Jaw,9,2
86,J W Humphrey,M,40,,11,4
87,R N Barnes,M,29,Saskatoon,5,1
88,E A Conway,M,38,Saskatoon,25,3
89,N W Ramirez,M,46,Regina,5,3
